experiment_time_s,latitude,longitude,height_m,speed_m_s,horizontal_accuracy_m
460.515,37.52668933,127.01735880,16.27,1.413,8.23
461.515,37.52667705,127.01733570,17.09,1.774,8.21
462.515,37.52666364,127.01731040,17.05,2.263,8.20
463.515,37.52665044,127.01728770,17.12,2.389,8.19
464.515,37.52664834,127.01726970,16.99,2.034,8.18
465.515,37.52664834,127.01725880,17.08,1.154,8.17
466.515,37.52664186,127.01724860,16.90,0.669,8.17
467.515,37.52664003,127.01724210,16.90,0.203,8.16
468.515,37.52664003,127.01720860,17.16,0.964,8.15
469.515,37.52661613,127.01715620,17.36,2.442,8.14
470.515,37.52659824,127.01712250,17.93,2.847,8.14
471.515,37.52656264,127.01708590,17.47,3.527,8.13
472.515,37.52653612,127.01705930,17.94,3.615,8.12
473.515,37.52649837,127.01701600,18.12,4.423,8.12
474.515,37.52647097,127.01698000,17.83,4.491,8.11
475.515,37.52644004,127.01693970,17.60,4.676,8.10
476.515,37.52640581,127.01689970,17.46,4.985,8.10
477.515,37.52637113,127.01686020,17.22,5.093,8.09
478.515,37.52634040,127.01682150,17.17,4.921,8.09
479.515,37.52630609,127.01677970,17.16,5.072,8.09
480.515,37.52627515,127.01674050,17.47,5.055,8.08
481.515,37.52623908,127.01669740,17.48,5.246,8.08
482.515,37.52620549,127.01665570,17.42,5.248,8.07
483.515,37.52617292,127.01661350,17.36,5.156,8.07
484.515,37.52613893,127.01656770,17.47,5.295,8.07
485.515,37.52610405,127.01652940,17.27,5.106,8.06
486.515,37.52606482,127.01648750,17.30,5.270,8.06
487.515,37.52603106,127.01644300,17.45,5.296,8.06
488.515,37.52599773,127.01639930,17.17,5.321,8.05
489.515,37.52596270,127.01635880,17.03,5.289,8.05
490.515,37.52592602,127.01631680,16.98,5.388,8.05
491.515,37.52589233,127.01627540,16.32,5.253,8.05
492.515,37.52585579,127.01623210,16.14,5.345,8.04
493.515,37.52581985,127.01619280,15.82,5.285,8.04
494.515,37.52578420,127.01614930,15.74,5.432,8.04
